Özellik,Önem
lokal_boyalı_parça_sayısı,0.07257395643270159
boyalı_parça_sayısı,0.20185727543711723
değişen_parça_sayısı,0.45979342904007875
model,0.4733295855853375
orjinal_parça_sayısı,0.6111913792531637
il,0.6587887987214349
renk,0.7258449710608273
km_per_yas,1.0143982266120943
yakitTuru,1.4054684377961713
hasar_skoru,1.5327943980692968
kasaTipi,1.6276154812540444
motor_hacmi_temiz,3.2283722557111902
seri,4.483608652702642
vitesTipi,4.552175542571969
cekisTipi,5.211197633985184
km_temiz,9.617073828211593
marka,11.411965033551757
motor_gucu_temiz,14.850135517683391
yil_temiz,18.349680114683466
arac_yasi,19.512135481636328
